-3.86,5.3
-2.58,6.7
-4.17,7.01
-2.6,7.44
5.13,1.45
3.23,1.49
-0.26,-4.25
2.76,5.94
0.47,4.8
-3.9,-2.7
0.27,3.26
2.88,-6.48
0.54,4.08
-4.39,2.09
-1.12,4.74
2.09,-3.8
-5.78,0.16
1.77,2.97
-7.91,-2.26
4.86,-5.75
-2.17,-3.33
-1.38,5.26
0.54,3.43
-3.12,6.6
2.19,3.77
0.33,-3.4
1.21,-2.98
4.52,-0.29
0.46,-2.47
-1.13,-4.08
-4.61,-8.97
-0.31,-3.4
0.25,-3.46
-2.67,2.46
-4.66,1.14
0.2,-4.31
-0.52,1.97
1.24,4.83
-2.53,-3.12
-0.34,4.97
5.74,8.65
-0.34,3.59
0.99,3.66
-5.01,7.54
2.38,1.52
0.56,4.55
-1.01,3.23
-0.47,4.39
4.81,-7.04
2.38,4.46
3.32,-2.41
3.86,1.11
-1.41,3.23
6.04,7.46
4.18,5.71
-0.78,3.59
-2.2,2.93
0.76,4.16
-2.02,6.43
-1.42,4.92
